Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
04/16/2024,35869,941739,1370151,243835,220030,8017,4033514
04/17/2024,35970,942089,1347870,243323,214829,7805,4021256
04/18/2024,34816,955479,1303010,230634,203859,7271,3966226
04/19/2024,33749,1000275,1278086,223518,205809,6252,3705782
04/20/2024,21228,949195,830016,125999,123804,2793,2537525
04/21/2024,20807,873632,651681,101817,98834,2017,1918237
04/22/2024,29919,902943,1146285,229680,206229,6171,3219677
04/23/2024,31727,869972,1176798,238274,221191,7063,3522218
04/24/2024,32658,880348,1180243,233010,215927,6847,3608010
04/25/2024,32999,962228,1191480,242243,217219,6820,3723894
04/26/2024,31859,955900,1143792,229885,198590,5647,3431590
04/27/2024,20591,911900,801494,123192,109447,2479,2506779
04/28/2024,21057,881076,649572,100214,91619,1965,2084950
04/29/2024,30504,866723,1161990,225362,201385,6385,3323706
04/30/2024,32717,872347,1193514,240862,218592,6886,3638986
05/01/2024,35701,954842,1350660,230682,205030,7757,4032791
05/02/2024,36244,980830,1349838,235003,210951,7475,4061242
05/03/2024,34860,1004571,1285012,226880,204190,6516,3780888
05/04/2024,22523,951334,849249,123516,122719,2769,2563658
05/05/2024,20709,819681,578132,99491,87988,2571,1889174
05/06/2024,33424,930298,1295794,229643,200506,6869,3652105
05/07/2024,36309,954763,1375535,250953,227303,7966,4098321
05/08/2024,36981,969162,1350511,244202,221059,7623,4087477
05/09/2024,35927,999321,1354139,247959,218370,7344,4086528
05/10/2024,34539,1001911,1212090,228020,195091,5894,3677268
05/11/2024,22810,1004157,845713,134051,117308,3078,2648580
05/12/2024,24531,930720,559614,114118,98717,1755,1858872
05/13/2024,31980,953646,1264180,244216,209794,7137,3703066
05/14/2024,35800,964136,1343633,260745,226656,7698,4116655
05/15/2024,36951,942648,1288427,248434,219840,7856,4114615
05/16/2024,35940,985179,1306481,243988,215601,7590,4105026
05/17/2024,34945,1023765,1270674,241980,215838,6569,3816914
05/18/2024,21562,969098,792454,131709,130279,2855,2691368
05/19/2024,22305,939438,657256,112130,106408,2228,2121485
05/20/2024,32417,956799,1291703,236846,216450,7160,3682061
05/21/2024,35819,962058,1349876,252506,234587,7775,4029557
05/22/2024,36940,975096,1357841,258544,233098,8086,4104021
05/23/2024,34785,1011195,1275297,250848,215083,7442,3863099
05/24/2024,33663,1034556,1243655,250907,209130,6663,3583244
05/25/2024,20733,924855,805680,135961,120036,3031,2347159
05/26/2024,22762,905197,652393,120709,101017,2710,2019012
05/27/2024,12673,742353,594031,99975,81042,2123,1667890
05/28/2024,34485,967869,1300611,257078,227311,7609,3825781
05/29/2024,36435,943930,1309889,254749,227379,8090,4006764
05/30/2024,35372,997110,1301028,253843,219887,7550,3979959
05/31/2024,35020,1020563,1257526,245017,211027,6644,3688627
06/01/2024,22726,999068,848601,128555,110948,2980,2446153
06/02/2024,22640,940743,651637,114504,92567,2339,1978037
06/03/2024,33679,946610,1294956,225413,197640,7168,3611491
06/04/2024,36865,957990,1327963,255090,233237,7800,3979793
06/05/2024,37800,985722,1338427,264512,230173,7942,4051943
06/06/2024,35234,978812,1207899,245631,219447,7059,3774324
06/07/2024,35464,1035803,1254339,252098,214062,6393,3752412
06/08/2024,23371,998451,842779,159020,135138,3150,2673220
06/09/2024,22435,962131,680981,132945,107497,2492,2134551
06/10/2024,32970,959576,1355986,240121,211542,7701,3702212
06/11/2024,36206,951147,1390440,259101,230796,8500,3995425
06/12/2024,36693,928453,1355294,256255,224305,8138,3977760
06/13/2024,35363,964740,1310210,254575,221855,7675,3936941
06/14/2024,34757,1011986,1212740,247019,204586,5973,3517062
06/15/2024,23580,1022686,851502,142102,122409,3104,2431810
06/16/2024,24200,997278,653946,130133,109303,2245,1897201
06/17/2024,31993,956532,1172762,242993,215241,6466,3325104
06/18/2024,36105,988738,1314338,260538,242116,7713,3920839
06/19/2024,26431,969020,1068172,232540,206582,4527,3046320
06/20/2024,36445,1020534,1275626,255683,227113,7217,3857797
06/21/2024,34695,1022507,1191812,244215,211543,6166,3500365
06/22/2024,21970,977336,793674,133102,119962,2743,2385207
06/23/2024,21789,953693,648887,118067,103892,2061,1908786
06/24/2024,33300,975173,1227231,246269,213904,6820,3467845
06/25/2024,36669,1002164,1269567,271783,232410,7685,3831447
06/26/2024,36344,1020784,1267408,264126,226518,7314,3901100
06/27/2024,35155,1032517,1214263,255215,227648,7170,3776811
06/28/2024,34111,1037403,1141168,255739,211914,6305,3522732
06/29/2024,21904,977287,780229,138769,119738,2948,2454997
06/30/2024,20851,885430,583751,126526,108244,2268,2002269
07/01/2024,32979,954908,1156904,216906,185943,6947,3273546
07/02/2024,35200,951968,1216755,234535,207844,7431,3542073
07/03/2024,36949,1003052,1198766,237577,205176,6758,3409357
07/04/2024,17646,752680,643119,117030,101274,2939,1992244
07/05/2024,28776,854313,1001854,207314,183222,4563,2700734
07/06/2024,19730,857713,758425,119417,110386,2688,2100877
07/07/2024,22640,909616,642652,120316,105041,2167,1804572
07/08/2024,33105,945690,1176713,226613,199454,6499,3228784
07/09/2024,35500,927603,1236657,249970,219843,7176,3605032
07/10/2024,37417,957143,1252733,249781,210993,7393,3691835
07/11/2024,35691,993245,1233678,246250,209174,6914,3688029
07/12/2024,34090,979245,1120310,231084,191828,5586,3261074
07/13/2024,20949,912958,743154,123988,107166,2700,2203283
07/14/2024,22682,947148,633752,119283,97038,2160,1869670
07/15/2024,32763,950682,1160722,233209,202008,6398,3259800
07/16/2024,35468,943841,1209152,249559,220620,6828,3594150
07/17/2024,36547,956017,1210515,248424,214137,6845,3651756
07/18/2024,36119,1005727,1218605,241785,211370,7085,3637826
07/19/2024,34718,1018050,1207102,243438,206922,6480,3372874
07/20/2024,19961,980583,803868,131910,125050,2688,2269647
07/21/2024,21664,962715,659004,126169,111438,2080,1877704
07/22/2024,32431,937858,1168226,231813,215087,6510,3235343
07/23/2024,35110,928295,1211237,247915,229841,7177,3606656
07/24/2024,36652,947798,1220410,249158,224862,7260,3656472
07/25/2024,35373,990676,1220056,255367,214281,6850,3638351
07/26/2024,34431,1012046,1154709,247475,201321,5946,3288849
07/27/2024,22582,982745,809660,138344,125101,2991,2306948
07/28/2024,22027,943306,645704,121226,99516,2214,1851383
07/29/2024,32067,928486,1147023,233537,200999,6240,3202281
07/30/2024,34911,937334,1228387,251398,220120,7217,3590241
07/31/2024,35765,958860,1213507,248316,213562,7018,3576343
08/01/2024,35878,1008364,1208275,229131,194439,6902,3544663
08/02/2024,34487,987721,1111340,215453,181008,5784,3153955
08/03/2024,22133,938339,741482,123922,109769,2852,2200373
08/04/2024,22186,885224,588249,108959,92383,2099,1752861
08/05/2024,33112,955722,1154644,234345,192078,6375,3222601
08/06/2024,35331,898384,1130325,234650,207212,6974,3462581
08/07/2024,36667,920296,1117450,239223,202867,6593,3511253
08/08/2024,35509,940729,1108956,230083,196259,6466,3490217
08/09/2024,32193,907512,1039488,215973,170622,5202,3041276
08/10/2024,22199,949079,777613,133623,119101,3156,2356405
08/11/2024,22996,925152,614435,121004,103975,2552,1918748
08/12/2024,33127,925367,1106072,231099,191415,6337,3169180
08/13/2024,35503,907386,1158412,242459,205674,7002,3491612
08/14/2024,37606,961969,1182980,242186,202330,7028,3544668
08/15/2024,36343,961969,1182864,241573,196106,6528,3495671
08/16/2024,34676,1004704,1123673,235035,185953,5596,3198733
08/17/2024,22797,954849,767022,135948,112928,2880,2256233
08/18/2024,20897,853807,578595,106004,82177,1953,1713050
08/19/2024,31668,931369,1090594,224656,183503,5870,3076559
08/20/2024,34985,952393,1164259,250304,211051,6877,3475888
08/21/2024,36401,958433,1159036,247076,204853,6910,3498651
08/22/2024,34997,985469,1140225,245912,199777,6458,3427911
08/23/2024,33653,999865,1095768,235738,196218,5827,3209666
08/24/2024,22523,975307,776019,146684,119252,3025,2332624
08/25/2024,22347,946696,629302,130885,101267,2309,1905818
08/26/2024,31233,935864,1104199,244138,186630,5896,3113498
08/27/2024,34997,949649,1177841,261771,201834,6713,3477101
08/28/2024,36079,972274,1203770,257194,195873,6656,3516674
08/29/2024,35044,992852,1203629,261935,192714,6446,3438760
08/30/2024,33968,1004458,1132406,255954,195334,5287,3152242
08/31/2024,21518,923923,771634,149890,119313,2471,2158004
09/01/2024,22880,896413,658803,120499,95622,2149,1969350
09/02/2024,14939,854109,629636,134118,95598,2571,2007446
09/03/2024,35977,959389,1323572,263763,220831,7337,3629404
09/04/2024,38623,935127,1372412,271660,225508,7588,3868854
09/05/2024,37475,966058,1434726,262639,220098,7475,4033322
09/06/2024,36478,999365,1397369,258126,202757,6606,3794952
09/07/2024,21477,912521,841695,137291,105974,2874,2479639
09/08/2024,23760,914241,724969,120584,98767,2280,2101048
09/09/2024,35327,930561,1458059,247296,214384,7724,3811344
09/10/2024,38230,951227,1510358,263027,233290,8495,4182405
09/11/2024,39031,921770,1489570,263710,228252,9107,4214707
09/12/2024,38778,984868,1515496,263539,228985,8174,4232214
09/13/2024,37297,1016290,1442741,254945,219747,6989,3911412
09/14/2024,24473,1002908,913017,145099,136864,3402,2706474
09/15/2024,24154,946517,705080,128174,118303,2605,2161737
09/16/2024,35319,934600,1473843,254618,215601,7734,3821428
09/17/2024,38667,945571,1536675,268678,232809,8503,4189311
09/18/2024,39300,963160,1539412,281624,229697,8603,4232888
